episode,timestep,reward
1961,1702000,173.4422
1963,1704000,169.8598
1966,1706000,82.0141
1968,1708000,168.6794
1971,1710000,13.7273
1974,1712000,99.252
1976,1714000,86.633
1978,1716000,87.4827
1980,1718000,169.8885
1982,1720000,160.8517
1985,1722000,99.7633
1987,1724000,168.4313
1989,1726000,96.1745
1991,1728000,159.1918
1993,1730000,173.8801
1995,1732000,157.2344
1997,1734000,162.2947
1999,1736000,169.4721
2001,1738000,164.7923
2003,1740000,164.9689
2005,1742000,164.0998
2008,1744000,0.9961
2011,1746000,81.9404
2014,1748000,83.0572
2016,1750000,166.4919
2018,1752000,164.8947
2020,1754000,41.1274
2022,1756000,175.5422
2025,1758000,98.3039
2027,1760000,174.9347
2029,1762000,98.5095
2031,1764000,173.5157
2034,1766000,96.7794
2036,1768000,68.2009
2038,1770000,169.524
2040,1772000,166.6775
2042,1774000,173.3362
2044,1776000,172.8988
2046,1778000,177.0042
2048,1780000,175.1252
2050,1782000,156.1776
2053,1784000,107.0737
2056,1786000,82.2988
2058,1788000,51.0738
2060,1790000,175.4692
2064,1792000,59.4955
2066,1794000,193.3612
2068,1796000,173.4958
2070,1798000,168.8107
2072,1800000,161.2201
2074,1802000,172.7498
2076,1804000,171.4869
2079,1806000,29.2629
2081,1808000,177.5769
2083,1810000,176.4826
2085,1812000,168.0165
2087,1814000,177.07
2089,1816000,169.3505
2091,1818000,175.415
2093,1820000,88.3497
2096,1822000,109.659
2098,1824000,179.7371
2100,1826000,164.5677
2102,1828000,181.0084
2104,1830000,64.1547
2106,1832000,166.495
2108,1834000,180.214
2110,1836000,171.0518
2112,1838000,93.6754
2114,1840000,157.2879
2116,1842000,170.6321
2118,1844000,173.5121
2120,1846000,177.1995
2122,1848000,168.2251
2125,1850000,120.7702
2127,1852000,173.7032
2129,1854000,173.9844
2131,1856000,177.89
2133,1858000,171.3778
2135,1860000,164.3572
2137,1862000,179.465
2139,1864000,170.1526
2141,1866000,174.2356
2143,1868000,177.1326
2145,1870000,172.8139
2147,1872000,166.9703
2149,1874000,162.7854
2151,1876000,172.8959
2153,1878000,179.4624
2155,1880000,178.588
2157,1882000,169.618
2159,1884000,187.7306
2161,1886000,179.8144
2163,1888000,166.3573
2165,1890000,157.2306
2167,1892000,179.2399
2169,1894000,171.5719
2171,1896000,164.6535
2173,1898000,178.0206
2175,1900000,181.3048
2177,1902000,172.357
2179,1904000,73.7817
2181,1906000,175.128
2183,1908000,173.0363
2186,1910000,105.2156
2189,1912000,96.9751
2191,1914000,164.1511
